<SYM>,vss,kss
FSTA,0.8588407851602694,0.0983456097560975
COPX,0.753404412642792,0.0985214814814815
IGHG,0.985099836628353,0.0985402702702702
CORP,0.9400872269445724,0.0988382926829267
EMHY,0.7365220055598973,0.09889
AMGN ,0.7254884705683602,0.099180487804878
RWJ,0.627868644773728,0.0992008641975309
SPYX,0.7479118095832157,0.0992091358024691
VCR,0.8253727006232203,0.0994787654320987
ORLY ,0.8242385400201923,0.0996170731707316
DXJ,0.6377345004718223,0.0997582926829268
SPLB,0.7472683691320116,0.0997707317073169
IDHQ,0.9894575416583704,0.0999527848101266
XLC,0.7829988335214425,0.1003144444444443
SIZE,0.6445496144394292,0.1004663157894737
AMZN ,0.8234676379939853,0.1006007317073169
VUSE,0.8533596780570432,0.1006642857142856
IETC,0.8694016070634126,0.1007566666666666
BOCT,0.8133751269368031,0.1007833333333333
BKNG ,0.9583820982670525,0.1007953658536585
IAK,0.8094140596648636,0.1008199999999999
SPSB,0.7305269136330228,0.101060731707317
BIIB ,0.7804326068748071,0.1010812345679012
SCHB,0.7483866126168937,0.1011918518518518
FXZ,0.8582398105001106,0.10125
EQL,0.7195185897610227,0.1012905970149253
BAB,0.857595281477626,0.1019321951219511
SLX,0.7116848660280585,0.101949696969697
PANW ,0.7711754816734279,0.102120975609756
HYS,0.9895094608249112,0.102419135802469
ILF,0.8494960224855976,0.1024612195121951
IYY,0.872809247132197,0.1026928395061728
EYLD,0.9911197851196416,0.1028244444444443
DBJP,0.8348482417694942,0.1031296969696969
QDF,0.8618373527397214,0.1031372151898734
DWLD,0.8274804624139803,0.1031502985074627
SPLG,0.794545370069008,0.1034099999999999
VOO,0.7392721782211713,0.103422098765432
ISRG ,0.593556248439239,0.1035763414634146
ROST ,0.9243575332986336,0.103610243902439
FCEF,0.736502291934191,0.1038585714285714
HTAB,0.7933875370029073,0.1039748148148147
EQIN,0.9553982545697738,0.1043773913043478
QCOM ,0.6703716747610866,0.1045048780487804
CRWD ,0.8192564262384979,0.104530487804878
VV,0.7721391750399994,0.1047349382716049
DSI,0.7265546321369419,0.1047750617283951
DBAW,0.9424173787724992,0.10478
EUDG,0.8661381093233718,0.1048790476190476
MELI ,0.7582397188292116,0.1048912195121951
SCHX,0.7621798695307874,0.1048977777777777
LRGF,0.7713734216962805,0.1049223456790123
VONE,0.7174823320217862,0.1052899999999999
KCE,0.8952103797512134,0.1053233333333333
GFS ,0.857928627531153,0.1053960975609756
JCPB,0.9187608576346236,0.105510487804878
HEDJ,0.7574898366323285,0.1055914634146342
TSM,0.7928389094119646,0.1058280487804878
TAXF,0.994517234019688,0.1059076923076923
RAAX,0.9383539555650642,0.1059799999999999
IAGG,0.6527129287106613,0.1060636585365853
IPKW,0.9484335518821972,0.106112033898305
SPMO,0.6764544010322365,0.1067899999999999
ADSK ,0.8242141555671221,0.1068685365853658
BCD,0.9652553846467016,0.1071512345679012
PSCC,0.9030541223109216,0.1071978260869565
KORP,0.7953933554331276,0.1077972972972972
SUSA,0.7282443566575482,0.1078317283950616
IOO,0.8297216675817167,0.1086265432098765
FALN,0.809656935692098,0.1086692592592592
QQQ,0.7664952373156438,0.1090192592592592
IEI,0.900511115785359,0.109020975609756
ONEQ,0.7725426000385913,0.1090792592592592
VONG,0.7645597675463333,0.1098022222222222
PFFA,0.9842793189035044,0.1098262962962962
MSFT ,0.8764828835417001,0.1098939024390244
VGSH,0.5835025833889625,0.1106660975609755
NFLX ,0.8012921560041071,0.1107573170731707
SPY,0.701547427834355,0.1109108641975308
QGRO,0.8953135446041809,0.1109204938271605
MFUS,0.4793956221236272,0.1109666666666666
TTD ,0.7683795719923243,0.1113980487804878
SPTS,0.7445297961524314,0.111450975609756
IWL,0.7370495323376526,0.1118196296296296
IWF,0.7452911067328727,0.1120335802469135
IVV,0.7085184358460179,0.1124777777777777
IWB,0.7232966583755993,0.1132395061728394
FSMB,0.9749877236344504,0.1136608641975308
MTUM,0.8665911383175953,0.1137941975308641
TMFC,0.8049201624272543,0.1139276543209876
POCT,0.770202359261187,0.1140010256410256
ITOT,0.7039091239522791,0.1140151851851851
USSG,0.7487055151171749,0.1142433333333332
USVM,0.5970455484899185,0.1148096296296297
SPYG,0.7028054912373235,0.1148749382716048
SJNK,0.7917634525884628,0.1152208641975308
QMOM,0.9449882036940648,0.1155655555555555
QLD,0.7572824627625039,0.1156092592592592
NULG,0.7572528610309051,0.1164825925925925
CEMB,0.910975450431467,0.1168016455696202
IWY,0.7903737803667976,0.1170949382716048
PRFZ,0.8551185255603257,0.1172296296296296
SPHY,0.857595281477626,0.1172918518518518
BBUS,0.7688504092925887,0.1177692592592592
KHC ,0.857595281477626,0.1180331707317073
SCHR,0.9543469628727468,0.1183656097560975
ILCG,0.7680827644435165,0.1184196296296297
VOOG,0.7127502955315068,0.1185249382716049
ADME,0.8200032326825983,0.1186461538461538
PJUL,0.9862495444849272,0.1186599999999999
BAPR,0.7686772191949589,0.1189663636363635
FTGC,0.8741970473955677,0.1193317073170732
SPTM,0.7100346467756934,0.1195148148148147
FBND,0.929756653038797,0.1199953658536585
HYDB,0.8849392539782852,0.1208799999999999
MU ,0.8931076851967362,0.1208841463414635
XLG,0.7191329603677747,0.1210061728395061
PSP,0.9540404073430596,0.1210652631578946
BJAN,0.8833187222941659,0.1212953846153846
MGK,0.7429400958972806,0.1213449382716048
FPEI,0.991937121159986,0.1214635802469135
MBB,0.9197361929418189,0.1215656097560975
XME,0.8830096922037712,0.1218060975609756
ROAM,0.9757740973241292,0.1219033333333333
COM,0.9602448430503788,0.1225269135802469
VUG,0.7389613846611633,0.1227692592592592
OEF,0.7384539099993901,0.1231504938271604
AAPL ,0.7873380232544576,0.123530243902439
USCI,0.9662178253958504,0.1239840540540541
MGC,0.7586989601881459,0.124132098765432
SCHG,0.7376450655701395,0.1242404938271605
DYNF,0.7141600298815541,0.12464
SPTI,0.9803960225433412,0.124760487804878
FEMS,0.9965569667143636,0.1251287179487179
